Target_Class,Target,Trial_Number,Trial_Date,Ine_Duration_Sec,Ine_Prptn_Total_Sec,Joh_Duration_Sec,Joh_Prptn_Total_Sec
Weather,Clear,1,24-Feb-06,2696,1,2696,1
Weather,Sun/Cloud,1,24-Feb-06,0,0,0,0
Weather,Cloud,1,24-Feb-06,0,0,0,0
Weather,Rain,1,24-Feb-06,0,0,0,0
Weather,WeatherUnk,1,24-Feb-06,0,0,0,0
Ad_Scan,Ad_5,1,24-Feb-06,2557,0.948442136,2460,0.912462908
Ad_Scan,Ad_Unk,1,24-Feb-06,139,0.051557864,236,0.087537092
Jv_Scan,Jv_Far,1,24-Feb-06,0,0,0,0
Jv_Scan,Jv_10,1,24-Feb-06,0,0,0,0
Jv_Scan,Jv_5,1,24-Feb-06,1478,0.548219585,1291,0.478857567
Jv_Scan,Jv_1,1,24-Feb-06,304,0.112759644,624,0.231454006
Jv_Scan,Jv_Contact,1,24-Feb-06,775,0.287462908,545,0.202151335
Jv_Scan,Jv_Unk,1,24-Feb-06,139,0.051557864,236,0.087537092
InfCarr,InfCarrTRUE,1,24-Feb-06,0,0,0,0
Behav,Travel,1,24-Feb-06,449,0.166543027,370,0.137240356
Behav,Social,1,24-Feb-06,62,0.022997033,300,0.111275964
Behav,Rest,1,24-Feb-06,2063,0.765207715,2026,0.75148368
Behav,OOV,1,24-Feb-06,122,0.045252226,0,0
Height,Height_1,1,24-Feb-06,0,0,0,0
Height,Height_5,1,24-Feb-06,0,0,345,0.127967359
Height,Height_10,1,24-Feb-06,422,0.15652819,433,0.160608309
Height,Height_20,1,24-Feb-06,1703,0.631676558,1544,0.572700297
Height,Height_High,1,24-Feb-06,0,0,0,0
Height,Height_Unk,1,24-Feb-06,571,0.211795252,374,0.138724036
Light,Full_Shade,1,24-Feb-06,148,0.054896142,91,0.033753709
Light,Part_Shade,1,24-Feb-06,72,0.026706231,530,0.196587537
Light,Small_Gap,1,24-Feb-06,775,0.287462908,1582,0.586795252
Light,Large_Gap,1,24-Feb-06,0,0,0,0
Light,Light_Unk,1,24-Feb-06,1701,0.630934718,493,0.182863501
Weather,Clear,2,31-Mar-06,0,0,0,0
Weather,Sun/Cloud,2,31-Mar-06,2278,0.795391061,2435,0.850209497
Weather,Cloud,2,31-Mar-06,586,0.204608939,429,0.149790503
Weather,Rain,2,31-Mar-06,0,0,0,0
Weather,WeatherUnk,2,31-Mar-06,0,0,0,0
Ad_Scan,Ad_Unk,2,31-Mar-06,2864,1,2864,1
Jv_Scan,Jv_Far,2,31-Mar-06,0,0,0,0
Jv_Scan,Jv_10,2,31-Mar-06,830,0.289804469,1442,0.50349162
Jv_Scan,Jv_5,2,31-Mar-06,2034,0.710195531,1237,0.431913408
Jv_Scan,Jv_1,2,31-Mar-06,0,0,0,0
